State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Karnataka,CHAMARAJANAGAR,Gram,2006-07,Kharif,4127.0,Hectare,964.0,Tonnes,0.2335837169857039
Maharashtra,BULDHANA,Other Kharif pulses,2001-02,Kharif,10700.0,Hectare,2800.0,Tonnes,0.2616822429906542
Uttar Pradesh,KHERI,Onion,2002-03,Summer,95.0,Hectare,1062.0,Tonnes,11.178947368421053
Maharashtra,AHMEDNAGAR,Groundnut,2001-02,Summer,11000.0,Hectare,17200.0,Tonnes,1.5636363636363635
Gujarat,AMRELI,Maize,2014-15,Summer,150.0,Hectare,204.0,Tonnes,1.36
Puducherry,KARAIKAL,Ragi,2008-09,Kharif,1.0,Hectare,1.0,Tonnes,1.0
Kerala,ALAPPUZHA,Rice,2010-11,Autumn,10445.22,Hectare,23855.732,Tonnes,2.2838898558383645
Jharkhand,SIMDEGA,Other Rabi pulses,2017-18,Rabi,1585.0,Hectare,1347.0,Tonnes,0.8498422712933754
Jharkhand,PALAMU,Potato,2003-04,Winter,1387.75,Hectare,10952.0,Tonnes,7.891911367321203
Madhya Pradesh,SHAJAPUR,Turmeric,2002-03,Whole Year,4.0,Hectare,2.0,Tonnes,0.5
Haryana,JIND,Coriander,2008-09,Whole Year,7.0,Hectare,,Tonnes,0.0
Gujarat,BHAVNAGAR,Oilseeds total,1998-99,Whole Year,218400.0,Hectare,216300.0,Tonnes,0.9903846153846154
Odisha,CUTTACK,Moong(Green Gram),2004-05,Summer,30506.0,Hectare,10616.1,Tonnes,0.3480003933652396
Assam,CACHAR,Sesamum,2009-10,Kharif,189.0,Hectare,95.0,Tonnes,0.5026455026455027
Tamil Nadu,KANCHIPURAM,Onion,2016-17,Kharif,5.0,Hectare,54.0,Tonnes,10.8
Madhya Pradesh,BALAGHAT,Jowar,2001-02,Kharif,131.0,Hectare,183.0,Tonnes,1.3969465648854962
Madhya Pradesh,HOSHANGABAD,Arhar/Tur,2002-03,Kharif,9205.0,Hectare,9592.0,Tonnes,1.0420423682781097
Nagaland,MON,Jute,2001-02,Kharif,90.0,Hectare,80.0,Bales,0.8888888888888888
Madhya Pradesh,ASHOKNAGAR,Soyabean,2003-04,Kharif,46269.0,Hectare,44370.0,Tonnes,0.9589574012837968
Rajasthan,PALI,Moth,2007-08,Kharif,3274.0,Hectare,782.0,Tonnes,0.2388515577275504
Odisha,GAJAPATI,Rice,2004-05,Autumn,1000.0,Hectare,1000.0,Tonnes,1.0
Madhya Pradesh,BURHANPUR,Niger seed,2019-20,Kharif,1.0,Hectare,,Tonnes,0.0
Tamil Nadu,NAGAPATTINAM,Groundnut,2006-07,Whole Year,3119.0,Hectare,11853.0,Tonnes,3.8002564924655338
Madhya Pradesh,SHIVPURI,Niger seed,2001-02,Kharif,103.0,Hectare,22.0,Tonnes,0.2135922330097087
Telangana,SANGAREDDY,Potato,2016-17,Rabi,2031.0,Hectare,19711.0,Tonnes,9.705071393402266
Rajasthan,SIKAR,Potato,1999-00,Whole Year,19.0,Hectare,80.0,Tonnes,4.2105263157894735
